Author,Year,Group,Score Name,Number of patients,Raters,Time,Mean,Std,,,,,,,
Steiner2014,2014,NFB,Conners 3-Teachers,34,Teachers,post,68.9,14.7,,BOSS Classroom,34,Teachers,post,26.4,15.65
Steiner2014,2014,Control,Conners 3-Teachers,36,Teachers,pre,68.57,12.45,,BOSS Classroom,36,Teachers,pre,29.55,15.92
Steiner2014,2014,Control,Conners 3-Teachers,36,Teachers,post,68.25,12.82,,BOSS Classroom,36,Teachers,post,23.22,17.85
Holtmann,2009,NFB,FBB HKS,20,Parents,pre,1.45,0.66,,,,,,,
Holtmann,2009,NFB,FBB HKS,20,Parents,post,1.25,0.61,,,,,,,
Holtmann,2009,Control,FBB HKS,14,Parents,pre,1.35,0.6,,,,,,,
Holtmann,2009,Control,FBB HKS,14,Parents,post,1.1,0.61,,,,,,,
Steiner,2011,NFB,Conners Rating Scales Revised,9,Parents,pre,82.1,11.3,,,,,,,
Steiner,2011,NFB,Conners Rating Scales Revised,9,Parents,post,68.8,10,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Parents,pre,74.2,9.3,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Parents,post,73.6,12.4,,,,,,,
Steiner,2011,NFB,Conners Rating Scales Revised,9,Teachers,pre,59.3,7.9,,,,,,,
Steiner,2011,NFB,Conners Rating Scales Revised,9,Teachers,post,58,7.9,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Teachers,pre,64.5,8.7,,,,,,,
Steiner,2011,Control,Conners Rating Scales Revised,11,Teachers,post,61,8.4,,,,,,,
Arnold,2013,NFB,SNAP-IV,26,Parents,pre,1.91,0.51,,,,,,,
Arnold,2013,NFB,SNAP-IV,26,Parents,post,1.56,0.7,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Parents,pre,1.86,0.44,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Parents,post,1.42,0.58,,,,,,,
Arnold,2013,NFB,SNAP-IV,26,Teachers,pre,1.82,0.7,,,,,,,
Arnold,2013,NFB,SNAP-IV,26,Teachers,post,1.59,0.69,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Teachers,pre,1.55,0.75,,,,,,,
Arnold,2013,Control,SNAP-IV,13,Teachers,post,1.08,0.69,,,,,,,
Strelh,2017,NFB,German ADHD rating scale,72,Parents,pre,1.84,0.49,,,,,,,
Strelh,2017,NFB,German ADHD rating scale,73,Parents,post,1.49,0.55,,,,,,,
Strelh,2017,Control,German ADHD rating scale,67,Parents,pre,1.78,0.47,,,,,,,
Strelh,2017,Control,German ADHD rating scale,68,Parents,post,1.62,0.5,,,,,,,
Strelh,2017,NFB,German ADHD rating scale,65,Teachers,pre,1.48,0.64,,,,,,,
Strelh,2017,NFB,German ADHD rating scale,69,Teachers,post,1.34,0.68,,,,,,,
